feature_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,pvalue
log_sigma_2_0_mm_3D_glrlm_LongRunEmphasis,1.0154¡À0.0082,1.0179¡À0.0108,1.0148¡À0.0033,1.0172¡À0.0041,1.0165¡À0.0052,1.0094¡À0.0043,1.0125¡À0.0061,0.001534621
log_sigma_2_0_mm_3D_glrlm_RunPercentage,0.9949¡À0.0026,0.9942¡À0.0034,0.9951¡À0.0011,0.9944¡À0.0013,0.9946¡À0.0017,0.9969¡À0.0014,0.9959¡À0.0020,0.001653684
log_sigma_3_0_mm_3D_firstorder_RootMeanSquared,1303.1131¡À97.8581,1280.1689¡À89.6814,1304.8090¡À94.7735,1244.9236¡À63.9537,1291.3024¡À85.0128,1353.9844¡À105.5170,1347.0904¡À105.6236,0.001757283
log_sigma_2_0_mm_3D_glrlm_ShortRunEmphasis,0.9962¡À0.0021,0.9956¡À0.0027,0.9963¡À0.0008,0.9958¡À0.0010,0.9959¡À0.0013,0.9977¡À0.0011,0.9969¡À0.0015,0.00191522
log_sigma_2_0_mm_3D_glrlm_RunLengthNonUniformityNormalized,0.9900¡À0.0053,0.9884¡À0.0068,0.9903¡À0.0022,0.9890¡À0.0027,0.9892¡À0.0034,0.9939¡À0.0028,0.9917¡À0.0040,0.00191982
gradient_glcm_InverseVariance,0.0811¡À0.0244,0.0877¡À0.0279,0.0835¡À0.0196,0.0798¡À0.0157,0.0859¡À0.0204,0.0645¡À0.0097,0.0726¡À0.0235,0.001927145
gradient_firstorder_10Percentile,50.4107¡À16.5060,47.1162¡À15.7320,50.1763¡À10.6728,38.7106¡À9.4806,43.6687¡À10.4830,63.4606¡À11.1451,57.6854¡À20.3931,0.00207611
log_sigma_4_0_mm_3D_firstorder_RootMeanSquared,1302.6501¡À96.6136,1279.1092¡À86.5616,1312.6986¡À95.5865,1235.6281¡À65.9529,1296.8368¡À82.4902,1338.9913¡À97.0555,1347.7796¡À106.4738,0.00214726
exponential_glrlm_RunVariance,3.2858¡À1.8000,3.8644¡À2.0334,3.7612¡À1.4042,1.7322¡À0.9518,2.1139¡À1.1414,3.6736¡À1.3662,2.6619¡À1.4972,0.002378917
log_sigma_5_0_mm_3D_firstorder_Kurtosis,3.7216¡À1.2819,4.1858¡À1.6782,3.6195¡À0.9077,3.4194¡À0.6056,3.1906¡À0.8344,3.1319¡À0.7281,3.4113¡À0.7858,0.002895904
original_gldm_DependenceNonUniformityNormalized,0.5586¡À0.1408,0.6071¡À0.1818,0.5549¡À0.1048,0.4826¡À0.0699,0.5774¡À0.1340,0.4879¡À0.0463,0.5176¡À0.0783,0.002926938
lbp_3D_m2_glrlm_RunVariance,0.3084¡À0.0860,0.3363¡À0.1135,0.3046¡À0.0498,0.2922¡À0.0484,0.2792¡À0.0455,0.3077¡À0.0343,0.2760¡À0.0633,0.002944523
squareroot_gldm_DependenceNonUniformityNormalized,0.5600¡À0.1401,0.6080¡À0.1815,0.5558¡À0.1045,0.4900¡À0.0681,0.5774¡À0.1340,0.4879¡À0.0463,0.5194¡À0.0769,0.002966159
logarithm_gldm_DependenceNonUniformityNormalized,0.5598¡À0.1402,0.6080¡À0.1815,0.5549¡À0.1052,0.4900¡À0.0681,0.5774¡À0.1340,0.4879¡À0.0463,0.5191¡À0.0773,0.002988099
wavelet_HLL_glrlm_RunVariance,0.0030¡À0.0024,0.0037¡À0.0032,0.0028¡À0.0013,0.0031¡À0.0013,0.0025¡À0.0013,0.0019¡À0.0007,0.0022¡À0.0015,0.003272656
gradient_firstorder_Skewness,1.7822¡À0.5276,1.9278¡À0.6164,1.7908¡À0.3117,1.7520¡À0.5759,1.8106¡À0.7001,1.6015¡À0.4833,1.5830¡À0.3483,0.003285984
lbp_3D_m1_glrlm_RunVariance,0.2394¡À0.0762,0.2653¡À0.1020,0.2355¡À0.0400,0.2117¡À0.0367,0.2250¡À0.0491,0.2239¡À0.0256,0.2147¡À0.0535,0.003337914
lbp_3D_m2_glrlm_LongRunEmphasis,1.8729¡À0.2227,1.9441¡À0.3009,1.8572¡À0.1287,1.8365¡À0.0967,1.8239¡À0.0980,1.8587¡À0.0805,1.7898¡À0.1557,0.003529175
exponential_gldm_DependenceNonUniformityNormalized,0.0990¡À0.0592,0.1215¡À0.0776,0.0749¡À0.0178,0.1048¡À0.0340,0.1156¡À0.0648,0.0655¡À0.0178,0.0803¡À0.0325,0.00371734
wavelet_HLL_glrlm_RunPercentage,0.9971¡À0.0023,0.9963¡À0.0032,0.9972¡À0.0013,0.9970¡À0.0012,0.9976¡À0.0014,0.9981¡À0.0007,0.9978¡À0.0015,0.003724906
wavelet_HLL_glrlm_RunLengthNonUniformityNormalized,0.9942¡À0.0046,0.9927¡À0.0063,0.9945¡À0.0026,0.9943¡À0.0025,0.9952¡À0.0027,0.9962¡À0.0013,0.9955¡À0.0029,0.003881526
lbp_3D_m2_glrlm_RunPercentage,0.8093¡À0.0318,0.7998¡À0.0401,0.8093¡À0.0214,0.8180¡À0.0133,0.8133¡À0.0174,0.8090¡À0.0122,0.8219¡À0.0286,0.004100191
wavelet_HLL_glrlm_LongRunEmphasis,1.0090¡À0.0074,1.0112¡À0.0103,1.0084¡À0.0040,1.0091¡À0.0038,1.0074¡À0.0041,1.0058¡À0.0021,1.0067¡À0.0044,0.004440827
lbp_3D_m1_glrlm_RunPercentage,0.8386¡À0.0287,0.8304¡À0.0359,0.8386¡À0.0193,0.8434¡À0.0222,0.8390¡À0.0177,0.8426¡À0.0106,0.8496¡À0.0250,0.004475845
log_sigma_1_0_mm_3D_glrlm_RunLengthNonUniformityNormalized,0.9866¡À0.0064,0.9850¡À0.0079,0.9868¡À0.0035,0.9838¡À0.0046,0.9865¡À0.0056,0.9909¡À0.0031,0.9886¡À0.0052,0.004519405
original_shape_LeastAxisLength,16.0002¡À7.4083,13.7320¡À8.6528,19.1486¡À5.8115,10.4352¡À1.9565,12.8005¡À3.9519,22.0192¡À5.0517,18.5899¡À5.3556,0.004640105
log_sigma_1_0_mm_3D_glrlm_ShortRunEmphasis,0.9949¡À0.0025,0.9942¡À0.0031,0.9950¡À0.0013,0.9938¡À0.0018,0.9948¡À0.0022,0.9966¡À0.0012,0.9957¡À0.0020,0.00467877
gradient_glcm_Idm,0.0797¡À0.0242,0.0855¡À0.0277,0.0811¡À0.0193,0.0809¡À0.0187,0.0857¡À0.0180,0.0637¡À0.0103,0.0717¡À0.0237,0.004805855
wavelet_HLL_glrlm_ShortRunEmphasis,0.9978¡À0.0018,0.9972¡À0.0026,0.9979¡À0.0010,0.9978¡À0.0009,0.9982¡À0.0010,0.9986¡À0.0005,0.9983¡À0.0011,0.00485374
lbp_3D_m1_glrlm_LongRunEmphasis,1.6854¡À0.1936,1.7448¡À0.2622,1.6732¡À0.1040,1.6483¡À0.1216,1.6734¡À0.1055,1.6426¡À0.0583,1.6193¡À0.1319,0.004947249
lbp_3D_m1_glrlm_RunLengthNonUniformityNormalized,0.7250¡À0.0398,0.7148¡À0.0481,0.7245¡À0.0279,0.7266¡À0.0342,0.7247¡À0.0227,0.7294¡À0.0158,0.7414¡À0.0374,0.004949397
log_sigma_2_0_mm_3D_firstorder_Mean,283.3002¡À97.9935,262.4132¡À88.1006,275.0985¡À84.1140,252.0525¡À67.1874,276.4392¡À93.8925,348.8132¡À118.5438,315.9445¡À113.6137,0.005170997
lbp_3D_m2_glrlm_RunLengthNonUniformityNormalized,0.6848¡À0.0432,0.6731¡À0.0522,0.6835¡À0.0310,0.6946¡À0.0178,0.6853¡À0.0264,0.6846¡À0.0166,0.7025¡À0.0431,0.005201483
